cid,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
mol48,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.3698000000000001,10.493500000000001,86.06120639999999,2.0,2.0,0.0,36.28
mol49,0.0,3.0,2.0,2.0,2.0,3.0,0.0,0.41059999999999997,8.964,64.0638,0.0,0.0,0.0,66.23
mol50,0.0,3.0,2.0,2.0,2.0,3.0,0.0,1.1776,15.868500000000001,80.1294,0.0,0.0,0.0,81.25
mol51,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.5126999999999999,7.7888,52.46034,0.0,2.0,0.0,20.23
mol52,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.2434,3.0438,36.0057432,1.0,2.0,0.0,20.23
mol53,0.0,3.0,2.0,0.0,3.0,2.0,1.0,-0.11010000000000002,3.3153,33.00674,0.0,2.0,0.0,20.23
mol54,0.0,4.0,3.0,0.0,4.0,0.0,1.0,0.05810000000000004,11.105,33.997581,0.0,3.0,0.0,13.59
mol55,0.0,4.0,3.0,0.0,1.0,0.0,0.0,2.9296999999999995,24.479,137.332761,0.0,3.0,0.0,13.59
mol56,0.0,4.0,6.0,0.0,4.0,0.0,0.0,3.4448,27.68,123.895044,0.0,6.0,0.0,54.36
mol57,0.0,3.0,2.0,0.0,3.0,1.0,1.0,0.11280000000000001,10.381,34.08087999999999,0.0,2.0,0.0,25.3
mol58,0.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0271999999999997,19.296999999999997,102.971,0.0,2.0,0.0,25.3
mol59,0.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0685000000000002,17.558999999999997,133.340538,0.0,3.0,0.0,0.0
mol60,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.3273,4.807,14.02658,0.0,2.0,0.0,0.0
mol61,0.0,3.0,2.0,1.0,2.0,1.0,0.0,-0.2741,6.7505,29.01804,0.0,1.0,0.0,17.07
mol62,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.06366,6.817,44.0128,0.0,0.0,0.0,54.46
mol63,0.0,3.0,2.0,1.0,1.0,3.0,0.0,0.1005,10.100999999999999,47.9982,0.0,1.0,0.0,51.21
mol64,0.0,5.0,4.0,0.0,3.0,0.0,1.0,0.4628,20.25,101.00738000000001,0.0,4.0,0.0,0.0
mol65,0.0,5.0,4.0,0.0,4.0,0.0,1.0,-0.49439999999999995,15.792,66.56232,0.0,4.0,0.0,0.0
mol66,0.0,5.0,4.0,0.0,5.0,0.0,1.0,-1.4516,11.334,32.11726,0.0,4.0,0.0,0.0
mol67,0.0,5.0,4.0,0.0,2.0,0.0,1.0,1.42,24.708,135.45244000000002,0.0,4.0,0.0,0.0
