cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
mol21,8.800299644470215E1,1.4756999999999998,0,0,0,0,0,0,0,0.0,4,0,0,7.163,5,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0.0,2.1940183829087188,1.343500018119812,6.330616697565674E-1,5.0,1.0,2.0E1,1.6E1
mol22,7.001299726963043E1,1.7214,1,0,0,0,0,0,0,0.0,3,0,0,8.131000000000002,5,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0.0,2.1830458832301365,1.092900037765503,9.974799229520566E-1,4.0,1.3333333333333333,1.9E1,1.2E1
mol23,3.0025999307632446E1,6.970000000000001E-1,3,1,0,0,0,0,0,0.0,1,0,0,9.623999999999999,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1.707E1,2.037843897915639,1.1017371538649197,8.496643149110791E-1,2.0,0.0,1.0E1,3.0
mol24,4.6094001054763794E1,8.619E-1,3,1,0,0,0,0,0,0.0,1,0,0,1.6826E1,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3.209E1,2.4451739715617777,1.1021255690566027,1.2185983523227732,2.0,0.0,1.0E1,3.0
mol25,3.4032998919487E1,1.373,3,0,0,0,0,0,0,0.0,1,0,0,1.0143E1,5,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0.0,1.9962826550920663,1.0917868143501284,8.284546294693319E-1,2.0,0.0,1.7E1,4.0
mol26,
mol27,8.796799850463867E1,2.1218,1,0,0,0,0,0,0,0.0,3,0,0,1.0244000000000002E1,4,3,0,0,0,0,3,0,0,1,0,3,0,0,0,0,1.359E1,2.3186046192847427,1.5749585138001791,4.7216869458373095E-1,4.0,1.3333333333333333,1.2E1,9.0
mol28,1.0213000106811523E2,2.1368,2,2,0,0,0,0,0,3.333333333333333E-1,3,0,0,1.7398E1,4,2,0,0,0,0,2,0,0,0,2,3,0,0,0,0,5.06E1,4.012536762302689,1.589216818910298,1.5248516845259825,4.0,3.0,1.0E1,8.0
mol29,5.010799968242645E1,-1.5667999999999997,4,0,1,0,0,0,0,0.0,1,0,0,9.0972,5,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0.0,2.514840289436463,1.4849502908284988,6.935518346768076E-1,2.0,0.0,1.7E1,4.0
mol30,8.608799803256989E1,3.4440000000000004E-1,2,0,1,0,0,0,0,0.0,3,0,0,5.7332,5,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0.0,2.6055154354434023,1.4848972830330938,7.546772192358664E-1,4.0,1.3333333333333333,1.9E1,1.2E1
mol31,1.7031000018119812E1,9.665000000000001E-1,3,0,1,0,0,0,0,0.0,0,0,0,8.8729,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0.0,1.6276830715072532,1.0190031360734404,5.973288146877153E-1,0.0,0.0,9.0,0.0
mol32,8.15270004272461E1,1.35278,1,2,0,0,0,0,0,0.0,2,0,0,1.5169E1,3,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,2.379E1,2.599787622408031,1.3675597625773472,9.010413245183431E-1,3.0,2.0,6.0,4.0
mol33,6.60099983215332E1,1.2076000000000002,2,2,0,0,0,0,0,0.0,3,0,0,7.072000000000001,4,2,0,0,0,0,2,2,0,0,0,3,0,0,0,0,2.472E1,3.3482319909724314,1.2430224907777025,1.6936214073468574,4.0,3.0,1.0E1,8.0
mol34,6.545899868011475E1,9.066000000000001E-1,2,2,0,0,0,0,0,0.0,2,0,0,1.1648E1,3,1,0,0,1,0,0,1,1,0,0,2,0,0,0,0,2.943E1,2.42467939045212,1.2349498349270585,9.633829017802431E-1,3.0,2.0,6.0,4.0
mol35,4.900399875640869E1,6.373E-1,2,2,0,0,0,0,0,0.0,2,0,0,6.9030000000000005,3,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,2.943E1,2.125786928889423,1.2349809951905446,7.213114510814284E-1,3.0,2.0,6.0,4.0
mol36,8.145799827575684E1,8.382000000000001E-1,3,1,0,0,0,0,0,3.333333333333333E-1,3,0,0,1.2733E1,4,1,0,0,1,0,0,1,2,0,0,3,0,0,0,0,3.866E1,3.638063709539836,1.2352056395421231,1.9453101516670739,4.0,3.0,1.0E1,8.0
mol37,4.60049991607666E1,1.4200000000000002E-1,3,1,1,1,0,0,0,0.0,2,0,0,7.5815,3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,4.966E1,2.201957486346136,1.3358907342762072,6.483065791598356E-1,3.0,2.0,6.0,4.0
mol38,1.0391099739074707E2,1.4805000000000001,1,1,0,0,0,0,0,0.0,3,0,0,1.4653E1,4,3,0,0,2,0,1,1,0,0,0,3,0,0,0,0,3.24,2.8919911477767783,1.3734413045638865,1.105653250828278,4.0,1.3333333333333333,1.2E1,9.0
mol39,8.745599746704102E1,1.2112,1,1,0,0,0,0,0,0.0,3,0,0,9.908,4,3,0,0,1,0,2,1,0,0,0,3,0,0,0,0,3.24,2.5833035203932604,1.3734050297350446,8.80948055717859E-1,4.0,1.3333333333333333,1.2E1,9.0
mol40,7.100099754333496E1,9.419000000000001E-1,1,1,0,0,0,0,0,0.0,3,0,0,5.163,4,3,0,0,0,0,3,1,0,0,0,3,0,0,0,0,3.24,2.255565601934924,1.3733816787941293,6.423443218751679E-1,4.0,1.3333333333333333,1.2E1,9.0
mol41,5.3010998368263245E1,9.501000000000001E-1,2,1,1,1,0,0,0,0.0,2,0,0,5.980400000000001,4,2,0,0,0,0,2,1,0,0,0,3,0,0,0,0,1.203E1,2.255546445333118,1.0190363292457325,1.213411220581922,3.0,2.0,1.1E1,6.0
mol42,3.1013999581336975E1,6.455E-1,3,2,1,1,0,0,0,0.0,1,0,0,7.7204,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,4.092E1,1.8318264660717918,9.809219593188305E-1,8.674538261370398E-1,2.0,0.0,5.0,2.0
mol43,1.8014999628067017E1,1.607E-1,3,1,1,0,0,0,0,0.0,0,0,0,5.271800000000001,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.0,1.5270107994097148,9.690121687241907E-1,5.75842748621196E-1,0.0,0.0,4.0,0.0
mol44,8.690499782562256E1,1.3106,1,1,0,0,0,0,0,0.0,2,0,0,1.2791E1,3,2,0,0,2,0,0,0,1,0,0,2,0,0,0,0,9.23,2.748338380919479,1.6734546180590035,6.423142589353306E-1,3.0,2.0,6.0,4.0
mol45,5.399499797821045E1,7.72E-1,1,1,0,0,0,0,0,0.0,2,0,0,3.301,3,2,0,0,0,0,2,0,1,0,0,2,0,0,0,0,9.23,2.3163422558064597,1.4103862517677586,6.423460260642703E-1,3.0,2.0,6.0,4.0
mol46,8.00640001296997E1,2.9179999999999995E-1,3,3,0,0,0,0,0,0.0,3,0,0,9.650500000000001,4,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,8.330000000000001E1,2.3652364995666075,1.5697351745985186,5.067742239843414E-1,4.0,1.3333333333333333,1.2E1,9.0
mol47,1.18971999168396E2,1.9084,1,1,0,0,0,0,0,0.0,3,0,0,1.99835E1,4,2,0,0,2,0,0,0,1,0,1,3,0,0,0,0,3.628E1,3.0191513811862887,1.4999299405389324,1.0128616007901625,4.0,1.3333333333333333,1.2E1,9.0
mol48,8.606199932098389E1,1.3698000000000001,1,1,0,0,0,0,0,0.0,3,0,0,1.0493500000000001E1,4,2,0,0,0,0,2,0,1,0,1,3,0,0,0,0,3.628E1,2.3783148449051645,1.4999992199658942,5.855440544557354E-1,4.0,1.3333333333333333,1.2E1,9.0
mol49,6.406500053405762E1,4.1059999999999997E-1,2,3,0,0,0,0,0,0.0,2,0,0,8.964,3,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,6.623E1,2.6180244299069826,1.5697868861033237,6.677578676973759E-1,3.0,2.0,6.0,4.0
mol50,8.013300228118896E1,1.1776,2,3,0,0,0,0,0,0.0,2,0,0,1.5868500000000001E1,3,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,8.125E1,2.8990727802694534,1.4900594090090444,9.456088547485938E-1,3.0,2.0,6.0,4.0
mol51,5.245999872684479E1,6.252E-1,2,1,1,1,0,0,0,0.0,1,0,0,8.9008,3,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2.023E1,2.208817184737842,9.720247144769308E-1,1.2723878846295162,2.0,0.0,5.0,2.0
mol52,3.600499880313873E1,3.559E-1,2,1,1,1,0,0,0,0.0,1,0,0,4.1558,3,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2.023E1,1.9722189014886513,9.720050889682829E-1,1.029021168584649,2.0,0.0,5.0,2.0
mol53,3.300599920749664E1,3.1539999999999996E-1,3,2,2,2,0,0,0,0.0,1,0,0,7.0626,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4.046E1,1.9647101276029486,9.720205787647498E-1,1.021263922312957,2.0,0.0,5.0,2.0
mol54,3.399800097942352E1,-7.449999999999999E-1,4,0,1,0,0,0,0,0.0,0,0,0,1.5290000000000001E1,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.0,2.0776553617174547,1.414959056723736,4.683501630981164E-1,0.0,0.0,9.0,0.0
mol55,1.3733299827575684E2,2.9296999999999995,1,0,0,0,0,0,0,0.0,3,0,0,2.4479E1,4,3,0,0,3,0,0,0,0,1,0,3,0,0,0,0,1.359E1,3.1722558163553543,2.0999761902911964,5.106151350770641E-1,4.0,1.3333333333333333,1.2E1,9.0
mol56,1.2389600372314453E2,3.4448,4,0,0,0,0,0,0,0.0,6,3,0,2.768E1,4,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,5.436E1,2.2790567574695744,2.2789583853280266,4.316539616565742E-5,1.0,8.333333333333333E-2,3.6E1,5.4E1
mol57,3.4083001375198364E1,-4.226E-1,3,1,1,0,0,0,0,0.0,0,0,0,1.3171E1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,1.9514889676317178,1.3409789474484106,4.5527189024479026E-1,0.0,0.0,4.0,0.0
mol58,1.029729995727539E2,2.0271999999999997,1,1,0,0,0,0,0,0.0,2,0,0,1.9296999999999997E1,3,2,0,0,2,0,0,0,0,0,1,2,0,0,0,0,2.53E1,3.063353629293155,2.030994721150723,5.083021129456788E-1,3.0,2.0,6.0,4.0
mol59,1.3334099769592285E2,2.0685000000000002,1,0,0,0,0,0,0,0.0,3,0,0,1.7558999999999997E1,4,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0.0,3.7577481948947806,2.1695001125335693,7.320802028013889E-1,4.0,1.3333333333333333,1.2E1,9.0
mol60,1.4026999711990356E1,9.528E-1,2,0,0,0,0,0,0,0.0,0,0,0,9.035,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,2.129939993377474,1.0649463021244001,1.000044499078103,0.0,0.0,4.0,0.0
mol61,2.9017999291419983E1,-6.190000000000001E-2,2,1,0,0,0,0,0,0.0,1,0,0,8.177999999999999,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1.707E1,2.2409594408155367,1.064801859050511,1.1045788207148801,2.0,0.0,5.0,2.0
mol62,4.4012999534606934E1,-1.584E-1,1,1,0,1,0,0,0,0.0,2,0,0,8.86,3,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1.707E1,2.356000065803528,1.1399999856948853,1.0666667503223095,3.0,2.0,6.0,4.0
mol63,4.799699878692627E1,-5.18E-2,1,3,0,1,0,0,0,0.0,2,0,0,7.4205,3,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5.7199999999999996E1,2.2337226996275508,1.3519934669471727,6.52169743594501E-1,3.0,2.0,6.0,4.0
mol64,1.0100799870491028E2,-7.26E-2,3,0,1,0,0,0,0,0.0,2,0,0,1.69052E1,5,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0.0,3.2626843037636664,1.4849767953739388,1.197128139596333,3.0,2.0,1.8E1,8.0
mol65,6.656299960613251E1,-1.2974999999999999,4,0,1,0,0,0,0,0.0,1,0,0,1.3842200000000002E1,5,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0.0,2.876360492869302,1.484983959602458,9.369640151798853E-1,2.0,0.0,1.7E1,4.0
mol66,3.2118000507354736E1,-2.5224,5,0,1,0,0,0,0,0.0,0,0,0,1.07792E1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,2.4250432084803766,1.4849789007492233,6.330489323833882E-1,0.0,0.0,1.6E1,0.0
mol67,1.3545299780368805E2,1.1522999999999999,2,0,1,0,0,0,0,0.0,3,0,0,1.99682E1,5,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0.0,3.2799060037430636,1.484935111525102,1.2087874266603056,4.0,1.3333333333333333,1.9E1,1.2E1
